Join_Count,TARGET_FID,xid,price202403,p_x_y,DB4201T_ID,label,KMeamsID,Krigin
1,4048,2610893404.000000000000000,21951,21951_114.2732474_30.59146826,17,0,8,19
1,4049,2610889130.000000000000000,21265,21265_114.2704479_30.62031405,19,0,8,17
1,4050,2610883904.000000000000000,30745,30745_114.2529179_30.61542616,19,10,42,19
1,4051,2610871274.000000000000000,20922,20922_114.239696_30.61305576,20,11,55,18
1,4052,2610867702.000000000000000,22143,22143_114.2824283_30.58550209,16,20,67,18
1,4053,2610867508.000000000000000,8670,8670_114.2532895_30.5942677,18,30,89,19
1,4054,2610817578.000000000000000,17120,17120_114.2719108_30.59196039,17,30,89,19
1,4055,2610805350.000000000000000,8762,8762_114.266908_30.61416646,19,0,8,18
1,4056,2610803576.000000000000000,9133,9133_114.2457757_30.61411865,18,10,42,18
1,4057,2610158678.000000000000000,9986,9986_114.310386_30.57744603,43,30,88,21
1,4058,2610620088.000000000000000,9616,9616_114.2748363_30.60405133,19,0,8,20
1,4059,2610616802.000000000000000,16042,16042_114.2839657_30.58273222,16,20,67,20
1,4060,2700060261.000000000000000,19531,19531_114.2516475_30.63548647,20,40,118,18
1,4061,2610009232.000000000000000,11105,11105_114.2423035_30.61282543,18,10,42,18
1,4062,2610009186.000000000000000,15569,15569_114.2547612_30.61995796,19,40,118,19
1,4063,2610163980.000000000000000,15280,15280_114.2702306_30.60866177,19,0,8,19
1,4064,2610153252.000000000000000,11153,11153_114.2581892_30.59521152,17,30,89,19
1,4065,2610939074.000000000000000,18424,18424_114.2742017_30.60811167,19,0,8,19
1,4066,2610919128.000000000000000,14817,14817_114.244737_30.58709684,18,11,55,19
1,4067,2610866544.000000000000000,31207,31207_114.2791054_30.57057129,16,20,67,19
1,4068,2610658988.000000000000000,10640,10640_114.2580351_30.62057999,19,40,118,19
1,4069,2610639390.000000000000000,22033,22033_114.2780791_30.57646557,16,20,67,19
1,4070,2610613672.000000000000000,11077,11077_114.2362523_30.61572627,20,10,42,17
1,4071,2610163978.000000000000000,10214,10214_114.2228188_30.6184612,20,10,42,17
1,4072,2610163976.000000000000000,11938,11938_114.2691916_30.60781932,19,0,8,18
1,4073,2610161286.000000000000000,13964,13964_114.2860415_30.58306935,16,20,67,20
1,4074,2610161284.000000000000000,12936,12936_114.2862703_30.58210804,16,20,67,20
1,4075,2610161282.000000000000000,12691,12691_114.2843378_30.58345578,16,20,67,20
1,4076,2610158670.000000000000000,21700,21700_114.3485876_30.53820951,57,0,5,23
1,4077,2610883684.000000000000000,27493,27493_114.2766745_30.57417476,16,20,67,19
1,4078,2610866532.000000000000000,23573,23573_114.2783371_30.57738962,16,20,67,19
1,4079,2610658980.000000000000000,12480,12480_114.2565952_30.59411055,17,30,89,19
1,4080,2610657978.000000000000000,19891,19891_114.2671058_30.62403093,19,0,8,17
1,4081,2610656664.000000000000000,21728,21728_114.2720791_30.57972822,16,20,67,19
1,4082,2610649730.000000000000000,23281,23281_114.2606551_30.6116037,19,0,8,19
1,4083,2610648796.000000000000000,24814,24814_114.2578962_30.61386396,19,0,8,20
1,4084,2610621868.000000000000000,24990,24990_114.2825692_30.57807411,16,20,67,20
1,4085,2610606718.000000000000000,13502,13502_114.2554332_30.59371481,17,30,89,19
1,4086,2610605524.000000000000000,12743,12743_114.2736215_30.57627439,16,20,67,18
1,4087,2610020373.000000000000000,16333,16333_114.2760137_30.57488649,16,20,67,19
1,4088,2610009273.000000000000000,14623,14623_114.2872623_30.57266873,16,20,67,21
1,4089,2610153342.000000000000000,21629,21629_114.2687363_30.60767831,19,0,8,18
1,4090,2610956100.000000000000000,17427,17427_114.2666762_30.6191587,19,0,8,18
1,4091,2610894998.000000000000000,11723,11723_114.2430493_30.62459632,20,40,118,18
1,4092,2610867670.000000000000000,16922,16922_114.2851141_30.58237873,16,20,67,20
1,4093,2610865912.000000000000000,13700,13700_114.2403684_30.58961005,18,11,55,20
1,4094,2610790266.000000000000000,13667,13667_114.2548225_30.58848236,17,30,89,19
1,4095,2610665964.000000000000000,19938,19938_114.2654456_30.61148226,19,0,8,18
1,4096,2610802872.000000000000000,17920,17920_114.2552167_30.58961501,17,30,89,19
